genomicGC	genomicLen	NCBI_bioProjectAccession	habitat	disease	io.gc	io.at	z4s.gc.le	z4s.gc.la	z4s.at.le	z4s.at.la	zaa.1s.gc.le	zaa.1s.gc.la	zaa.1s.at.le	zaa.1s.at.la	habitatGold	habitatImg	hostassociated	GCgroups	SizeGenomic	intra
NC_015687	30.93	3942462	PRJNA68293	NA	NA	0.200076101690884	0.0792236211981859	-0.301740001807935	-0.549230412555906	-0.21925709260706	0.0425374537651813	2.44115522609197	2.40538725729942	1.16119293933849	1.28851754238688	NA	NA	N	[16.6,37.5]	(3.13e+06,4.58e+06]	N
NC_011138	44.89	4448969	PRJNA58251	Aquatic	NA	0.0236412261858863	-0.00128924767439554	-0.061608839926698	-0.115502281920129	-0.29088967262306	-0.279516596874027	1.09116579699117	1.10357402181508	1.03461793136565	1.01628474830418	Environmental	Environmental	N	(37.5,47.3]	(3.13e+06,4.58e+06]	N
NC_010519	37.38	2263857	PRJNA57979	HostAssociated	Pneumonia, arthritis, myocarditis, and reproductive problems	0.0104338455007103	-0.0150464451413139	0.0444326505803028	-0.0318021583308921	-0.254010739333748	-0.276595538690049	0.998900206622214	1.15599293252822	1.19398259931052	1.2042530329698	Host-associated	Host-associated	N	[16.6,37.5]	(2.09e+06,3.13e+06]	N
NC_005966	40.43	3598621	PRJNA61597	Multiple	Nosocomial infections in immunocompromised individuals	0.0600951914950403	-0.000252529003698807	-0.0991615469320868	-0.149921264310667	-0.208035766413185	-0.226979286932751	0.697974832258357	0.910674000111398	0.888083517638571	0.887600931768656	NA	Engineered	N	(37.5,47.3]	(3.13e+06,4.58e+06]	N
NC_014914	37.42	1695860	PRJNA62103	NA	NA	0.060705787048757	-0.00873661925634374	-0.250500856011569	-0.190184509521593	-0.417827631442634	-0.352657622451754	1.16716290028375	1.34071199494219	1.17831409551024	1.10567714877507	Host-associated	Host-associated	N	[16.6,37.5]	[1.39e+05,2.09e+06]	N
NC_009712	54.51	2542943	PRJNA58815	Terrestrial	NA	0.00611346658590753	-0.0146651039135531	-0.126531315828822	-0.128654823720257	-0.108391664397063	0.0419366769760162	0.934320567095796	0.97447749212104	0.590736154672973	0.362606695686647	Environmental	NA	N	(47.3,60.2]	(2.09e+06,3.13e+06]	N
NC_011832	55.35	2922917	PRJNA59193	Specialized	NA	0.0263455776273444	-0.0279703850878312	-0.0247262342276618	0.00847194527106249	-0.0623366621052143	0.255461345151597	0.91025100628419	1.08200477748061	0.533390158482362	0.122415889379243	Environmental	NA	N	(47.3,60.2]	(2.09e+06,3.13e+06]	N
NC_014550	59.29	3859257	PRJNA53509	NA	NA	0.0150140020865855	0.00142684415309064	-0.305265970066026	-0.318997731456277	-0.190604528704785	-0.119351306701354	1.23787352122162	1.09590898181371	0.554077027156331	0.454010286308679	NA	Engineered	N	(47.3,60.2]	(3.13e+06,4.58e+06]	N
NC_014221	68.14	3260398	PRJNA49533	NA	NA	0.0246994535519126	-0.00608671693009042	-0.192797884155739	-0.294825286051699	-0.753311164147722	-0.536717364418905	0.879533463619413	1.02830745111644	0.736938029065437	0.5427068417579	Host-associated	Environmental	N	(60.2,74.9]	(3.13e+06,4.58e+06]	N
NC_010628	41.41	8234322	PRJNA57767	Multiple	NA	6.6268302577837e-05	0.000252974163439624	-0.246494273341993	-0.237379934028337	-0.166037692251467	-0.154512257038449	1.04164928499375	1.04957124950477	0.838831136485379	0.813317811956942	Host-associated	Host-associated	N	(37.5,47.3]	(4.58e+06,1.3e+07]	N
NC_014158	68.41	4379918	PRJNA48829	Terrestrial	Rare infections	0.0144180821501271	0.00287618379515959	-0.217240476001351	-0.100689022065203	-0.303858682223416	0.11180433279365	1.13437287882235	0.91957891863411	0.403762185144195	-0.0234605646941014	Host-associated	Host-associated	N	(60.2,74.9]	(3.13e+06,4.58e+06]	N
NC_014657	35.44	2428903	PRJNA60165	Specialized	NA	0.138402299473941	0.0517264828107291	-0.0876006086116234	0.250780201838673	-0.243690135462362	0.168334494306973	1.57879156387636	1.68082676068109	0.944243920914824	0.818026912768933	Environmental	Environmental	N	[16.6,37.5]	(2.09e+06,3.13e+06]	N
NC_009648	57.48	5315120	PRJNA57619	Multiple	Pneumonia and urinary tract infections	0.0309177163422215	-0.00783459945287088	0.124659824905722	0.0583706103315689	-0.719446779529	-0.636487511299711	0.865974818995392	0.926415025525519	1.15144267020806	0.999395464877303	Host-associated	Host-associated	N	(47.3,60.2]	(4.58e+06,1.3e+07]	N
NC_011206	58.85	2885038	PRJNA58613	Specialized	NA	0.0257805066336331	-0.0206376637363188	-0.0753404502752102	-0.187836669343739	-0.345044958485994	-0.321386291286686	0.968086211340031	1.08859775501965	0.69413799609855	0.554172504691075	NA	Engineered	N	(47.3,60.2]	(2.09e+06,3.13e+06]	N
NC_008023	38.73	1860355	PRJNA58573	HostAssociated	Wide range of infections	0.0775934032373002	0.0236151188519817	-0.471282377742949	-0.683357088380301	-0.463407008124351	-0.470981702103794	1.29563869029525	1.46580235605929	1.25814510498521	1.41381197842453	Host-associated	Host-associated	N	(37.5,47.3]	[1.39e+05,2.09e+06]	N
NC_003910	38.01	5373180	PRJNA57855	Specialized	NA	0.038232592415758	-0.00603051632706457	-0.261182123567559	-0.405591627242324	-0.426679698167873	-0.414163873754038	1.29061466730295	1.43342355348462	1.24515745835456	1.27989878460105	Environmental	Environmental	N	(37.5,47.3]	(4.58e+06,1.3e+07]	N
NC_009441	34.11	6096872	PRJNA58493	Multiple	NA	0.0331685079776303	-0.00567829145497598	0.0992493690566448	0.0373454915621496	0.0145445928484926	-0.121231480983822	1.06917815262478	1.15166408064527	1.05068291717305	1.19117035360453	Environmental	Environmental	N	[16.6,37.5]	(4.58e+06,1.3e+07]	N
NC_014816	59.18	2588221	PRJNA55641	Aquatic	NA	0.0267065059527664	-0.0186122968422727	-0.095862746489087	-0.133857286264985	-0.729220945818199	-0.586368972496695	0.891334417299245	0.932519320661927	1.1219036622082	0.906298804303903	Host-associated	Environmental	N	(47.3,60.2]	(2.09e+06,3.13e+06]	N
NC_008702	67.92	4376040	PRJNA61603	HostAssociated	NA	0.0248247740219284	-0.0152636870487158	-0.126991647588635	-0.159927400126582	-0.687529355627305	-0.282030615046448	1.10358319940221	1.01873169984804	0.869352267962313	0.438406792449489	Host-associated	Host-associated	N	(60.2,74.9]	(3.13e+06,4.58e+06]	N
NC_011146	60.27	4615150	PRJNA58749	Terrestrial	NA	0.0160181304642804	0.00954199875123958	-0.266688747541802	-0.203748082736663	-0.458520263645745	-0.0906946076634016	1.33468377515777	1.2392242869284	0.82611913235765	0.584429442546956	Environmental	Environmental	N	(60.2,74.9]	(4.58e+06,1.3e+07]	N
NC_004631	52.05	4791950	PRJNA57973	HostAssociated	Typhoid fever	0.0386358068046322	-0.00623669699427329	0.206015734836594	0.173747991923925	-0.563455092899978	-0.459837210175771	0.751412134410351	0.81952267901974	1.07560591169665	0.939825690498702	Host-associated	Host-associated	N	(47.3,60.2]	(4.58e+06,1.3e+07]	N
NC_015682	30.59	1634377	PRJNA68283	NA	NA	0.0216149624818009	-0.0206690167634602	-0.56340116435654	-0.783702371431001	-0.375561364720085	-0.521135006048686	1.99346222302131	2.11726670893991	1.19599262771728	1.24395156739085	Environmental	Environmental	N	[16.6,37.5]	[1.39e+05,2.09e+06]	N
NC_008596	67.4	6988209	PRJNA57701	HostAssociated	Soft tissue lesions	0.0127083919419744	-0.0111303282826193	-0.0962630032036889	-0.0868518718046091	-0.178892003386848	-0.105983375176358	1.03386743163474	0.984262176481404	0.384486704997484	0.188718765449291	NA	Engineered	N	(60.2,74.9]	(4.58e+06,1.3e+07]	N
NC_009379	44.83	2159490	PRJNA58611	Aquatic	NA	0.0479180197733997	-0.0197187978173629	-0.593408121004261	-0.576520020284872	-0.356756529703187	-0.339408373245408	1.44990518376942	1.48142505396621	0.982311805403889	0.854011596719102	Environmental	Environmental	N	(37.5,47.3]	(2.09e+06,3.13e+06]	N
NC_014494	39.51	2130579	PRJNA52453	HostAssociated	Pneumonia	0.0943513621616817	0.00925720781034765	-0.597645528264096	-0.690768354915763	-0.36531040981134	-0.381761530570641	1.50999826689933	1.71606381168705	1.15990198853039	1.23825335289536	Host-associated	Host-associated	N	(37.5,47.3]	(2.09e+06,3.13e+06]	N
NC_007908	59.88	4712337	PRJNA58353	Multiple	NA	0.0120219504964273	-0.00801931844803662	-0.0747224796060207	-0.107704233329755	-0.53514388441255	-0.286321748284472	1.05214205588548	1.05534418480785	0.885200600076401	0.603037448564061	Environmental	Environmental	N	(47.3,60.2]	(4.58e+06,1.3e+07]	N
NC_010943	66.32	4851126	PRJNA61647	Multiple	Blood, respiratory, and urinary infections	0.0264380692121827	-0.0149453578812642	-0.0293907548429002	-0.00996533331634944	-0.451900098485638	-0.278506392553465	1.03606362172577	0.989559894498591	0.787010477298974	0.517725621029897	Environmental	Host-associated	N	(60.2,74.9]	(4.58e+06,1.3e+07]	N
NC_016109	74.2	8783278	PRJNA77027	Terrestrial	None	-0.0152506867012434	0.0141325343950802	-0.395248404670067	-0.183449440194744	-0.0182799224206603	0.0647773520962594	1.31165489959982	0.942402293168312	0.0579255235833986	-0.0611968872635103	NA	Environmental	N	(60.2,74.9]	(4.58e+06,1.3e+07]	N
NC_010814	54.77	3917761	PRJNA58713	Multiple	None	0.0334866007152478	-0.0381552753815528	-0.0438144233153361	-0.0802025911504208	-0.418400154076433	-0.310554101168169	1.10909664474136	1.16724969439317	0.969885594509493	0.739488733054906	Environmental	Environmental	N	(47.3,60.2]	(3.13e+06,4.58e+06]	N
NC_009953	69.52	5786361	PRJNA58659	Aquatic	None	0.023628559156767	-0.0288131496253324	-0.0659176696890402	-0.0796816114828313	-0.260332903500242	0.0523765398783641	1.10712456174673	1.04747982689197	0.352964378671406	-0.054878033890276	Environmental	Environmental	N	(60.2,74.9]	(4.58e+06,1.3e+07]	N
NC_013174	58.42	2749646	PRJNA59053	NA	NA	0.00548483641828621	0.0131092558198244	-0.136381601097093	-0.284122083914691	-0.32917278426322	-0.198689497525123	0.739162685932145	0.783639025752508	0.555321195611255	0.503505129389562	Host-associated	Host-associated	N	(47.3,60.2]	(2.09e+06,3.13e+06]	N
NC_012912	54.52	4813854	PRJNA59297	NA	soft rot and wilt	0.0510744199335348	-0.0253051933681696	0.27486294980305	0.197320884988943	-0.565896408872684	-0.376704882057833	0.644980882695053	0.734191114422401	1.05462563313536	0.774030936086918	NA	NA	N	(47.3,60.2]	(4.58e+06,1.3e+07]	N
NC_012881	47.09	4289847	PRJNA59223	Multiple	NA	0.0724098014295775	-0.0686241332882127	-0.535204633582617	-0.42423449170141	-0.684687008908977	-0.440286344287708	1.6811044584113	1.59770540616234	1.41860210364112	0.909916503098989	Environmental	Environmental	N	(37.5,47.3]	(3.13e+06,4.58e+06]	N
NC_010380	39.63	2245614	PRJNA59117	Multiple	Pneumonia	0.080344251082909	0.00815022171575792	-0.54244983204736	-0.772365718372014	-0.354928410259869	-0.343647859634072	1.45236475429749	1.72906581850782	1.12940010427668	1.25195631705992	Host-associated	Host-associated	N	(37.5,47.3]	(2.09e+06,3.13e+06]	N
NC_008819	34.98	1864731	PRJNA58423	Aquatic	NA	0.0232063522072029	-0.0518668206312548	-0.325296835208262	-0.421622146845606	-0.16359793511131	-0.161978745748259	1.5198316680275	1.64163181328583	0.904994504973073	0.918684578316344	Environmental	Environmental	N	[16.6,37.5]	[1.39e+05,2.09e+06]	N
NC_009567	38.01	1887181	PRJNA58593	HostAssociated	Meningitis, septicemia, otitis media, sinusitis, chronic bronchitis	0.0352497043573183	-0.0190499290991865	0.00596972234452724	-0.0732521135035333	-0.28199314817492	-0.291427868329166	0.901385412028974	1.05046910018805	1.08330070042545	1.04557279326243	Host-associated	Host-associated	N	(37.5,47.3]	[1.39e+05,2.09e+06]	N
NC_016909	32.44	1267197	PRJNA86655	NA	NA	0.0721146473728967	0.0099858114060157	-0.0464693548756165	-0.00128216132821606	-0.392185837443101	-0.208391836678225	1.02327854495668	1.12377252428173	1.42863900254556	1.2896569121422	NA	NA	N	[16.6,37.5]	[1.39e+05,2.09e+06]	Y
NC_012751	40.33	2110231	PRJNA59289	HostAssociated	NA	-0.00711095871398597	-0.00745382845506045	-0.071259737711659	-0.085672437382208	-0.362431255187342	-0.377440345265499	0.872713764776463	0.861560782525504	1.18869708763111	1.20584901205927	Host-associated	Host-associated	N	(37.5,47.3]	(2.09e+06,3.13e+06]	N
NC_013450	32.84	2824404	PRJNA41455	NA	NA	0.121100899472453	0.0538847235679815	0.137696485306405	0.0840358334424471	-0.147540153443448	0.0975339113518738	0.778751264491178	1.18534208330161	1.1464017943501	1.01336301442779	Environmental	Host-associated	N	[16.6,37.5]	(2.09e+06,3.13e+06]	N
NC_014831	72.48	2844696	PRJNA61727	Specialized	NA	0.0355766460164241	-0.00857988855470845	-0.0240657799300941	0.0454118677789766	-0.314506562392565	-0.243579843678821	1.39507950777364	1.2152345984441	0.305079886718375	0.0669993780857155	Environmental	Environmental	N	(60.2,74.9]	(2.09e+06,3.13e+06]	N
NC_015497	44.17	5052309	PRJNA66595	NA	NA	0.0490928725701944	-0.0129388435132322	-0.16093696728882	-0.251659769561664	-0.282441792986003	-0.251898331778814	1.15159703918937	1.27814793745286	1.00665234251607	1.0144366267027	Environmental	Environmental	N	(37.5,47.3]	(4.58e+06,1.3e+07]	N
NC_006270	46.19	4222597	PRJNA58097	Terrestrial	Food poisoning	0.0676175721181547	0.0554817257578492	-0.0488002588475419	0.127436238639156	-0.246343468844627	0.20368314052504	1.10204721148918	1.0803412001315	0.842396974051552	0.616188851427191	Host-associated	Host-associated	N	(37.5,47.3]	(3.13e+06,4.58e+06]	N
NC_015683	53.4	2606374	PRJNA68291	NA	NA	0.0676801030050049	-0.00771390992143898	-0.242532238133694	-0.443552418454718	-0.427095192768926	-0.199453270051199	0.956911823152969	1.15181665544837	0.873832369864278	0.472944613474915	NA	NA	N	(47.3,60.2]	(2.09e+06,3.13e+06]	N
NC_012522	67.89	7913450	PRJNA13791	NA	NA	0.019851849201095	-0.00330778984508518	-0.138871637973427	-0.176638326049639	-0.070553860020204	0.121327437680856	1.08533250346841	1.07361498484307	0.148180350211285	-0.0652699411031933	NA	NA	N	(60.2,74.9]	(4.58e+06,1.3e+07]	N
NC_007514	44.28	2572079	PRJNA58375	Aquatic	NA	0.0395570397289201	-0.0144062174201497	-0.221341833432989	-0.262211349512013	-0.428674293653288	-0.361966199133468	0.94802215179358	1.0143874882661	1.21207302747957	1.03800169044624	Environmental	Environmental	N	(37.5,47.3]	(2.09e+06,3.13e+06]	N
NC_009454	52.96	3025375	PRJNA58877	Specialized	None	0.0758411544796214	0.0151056963631749	-0.247231020714101	-0.000967450848746882	-0.493405276681021	-0.175315637109073	2.06708042846078	1.63243636113796	0.922202037209783	0.74766312630681	NA	Engineered	N	(47.3,60.2]	(2.09e+06,3.13e+06]	N
NC_016928	32.85	2788636	PRJNA88065	NA	NA	0.114768241108017	0.0494092373791622	0.154858723267547	0.0175711525195021	-0.127891402660451	0.0948728550695666	0.778993099733746	1.21265333200458	1.13811873356213	1.01445240491517	Host-associated	Host-associated	N	[16.6,37.5]	(2.09e+06,3.13e+06]	N
NC_015714	52.74	1133390	PRJNA68447	HostAssociated	Rabbit syphilis	0.0930574262275009	-0.0871455185261851	0.347197059092974	0.170400106102669	-0.183528249482378	-0.384589168453889	0.336418475091739	0.503463973561851	0.538058669479172	0.344737007278173	Engineered	Host-associated	N	(47.3,60.2]	[1.39e+05,2.09e+06]	N
NC_006677	61.07	2702173	PRJNA58239	Multiple	NA	0.0514954989836415	-0.0347202619544967	0.0808668943952558	-0.129720718829716	-0.753348305178269	-0.504233061204285	0.633368229210424	0.85459153836285	1.11369137880851	0.705796811837416	NA	NA	N	(60.2,74.9]	(2.09e+06,3.13e+06]	N
NC_010688	65.04	5079002	PRJNA61643	NA	NA	0.0203356622277723	-0.0174257531753149	-0.0127044015080864	-0.0128503081973481	-0.247040769932164	-0.12045315387326	0.864752826749907	0.820816559628076	0.596932538750419	0.416783884410497	NA	NA	N	(60.2,74.9]	(4.58e+06,1.3e+07]	N
NC_008800	47.27	4615899	PRJNA57741	Multiple	Gastroenteritis	0.0453471092511414	-0.0192296243376793	0.014366458496282	0.0247010935802165	-0.457262749581393	-0.394853393501493	0.927960613291971	0.952925346067303	1.0607644888553	0.880178304394519	Host-associated	Host-associated	N	(37.5,47.3]	(4.58e+06,1.3e+07]	N
NC_009943	56.17	3944167	PRJNA58777	Aquatic	NA	0.0238740635732207	-0.00617692981453978	-0.136091171182881	-0.100934621523221	-0.38898007000757	-0.244943501151588	1.59741326432014	1.4017435266796	0.856647419592206	0.706038129051978	Environmental	Environmental	N	(47.3,60.2]	(3.13e+06,4.58e+06]	N
NC_010475	49.63	3008047	PRJNA59137	Aquatic	NA	0.00256544095598769	0.000960890646226571	-0.416866113216845	-0.402900975575867	-0.403007126645402	-0.367673813651148	1.01216706363508	1.0169143742756	0.941032243507477	0.947758995081201	Host-associated	Environmental	N	(47.3,60.2]	(2.09e+06,3.13e+06]	N
NC_016944	47.66	3007450	PRJNA89389	NA	NA	0.0482089356508055	-0.0122133938706016	0.0578953235645788	-0.0379523121602296	-0.520398151440958	-0.457602231451887	0.760457961776817	0.893724250446235	1.17031097148048	1.06242111479644	Host-associated	Host-associated	N	(47.3,60.2]	(2.09e+06,3.13e+06]	N
NC_015662	23.03	444925	PRJNA68101	HostAssociated	NA	0.0764360614654092	-0.0764972793854612	0.475264522064328	-0.0676531880651468	0.0698517684631636	-0.0411414012307904	0.28234367296763	0.922408658679896	0.904979998709253	1.2439547498372	Host-associated	Host-associated	N	[16.6,37.5]	[1.39e+05,2.09e+06]	Y
NC_010424	60.85	2349476	PRJNA59067	Specialized	NA	0.0569033965593295	-4.35142073887124e-05	0.0383436289102598	0.126492723776748	-0.487914715600662	-0.308491774980964	1.62639264992361	1.34117387022337	0.697587051090972	0.547119400170747	Environmental	Environmental	N	(60.2,74.9]	(2.09e+06,3.13e+06]	N
NC_007948	62.47	5200264	PRJNA58207	Multiple	None	0.0217466109867328	-0.0156423396359781	-0.117132844241911	-0.0992254341675053	-0.4567555185406	-0.188933315549532	1.04873024361433	1.0294186893091	0.787103681938782	0.462031832065632	Environmental	Environmental	N	(60.2,74.9]	(4.58e+06,1.3e+07]	N
NC_011901	65.06	3464554	PRJNA59179	Specialized	NA	0.0243396367786148	-0.014489334091226	-0.219044384282038	-0.208840702261771	-0.62484721698068	-0.209042751633735	1.51192806149962	1.3078771111217	0.92408022940188	0.473686199131059	NA	Engineered	N	(60.2,74.9]	(3.13e+06,4.58e+06]	N
NC_002967	37.87	2843201	PRJNA57583	HostAssociated	Periodontal disease, gum inflamation	0.051942338052227	0.0111281018637678	-0.659581375208354	-0.43371746063623	-0.40268854485836	0.0133700345285804	1.7449333594718	1.77149269265168	1.14612924638534	0.944343255441931	Host-associated	Host-associated	N	(37.5,47.3]	(2.09e+06,3.13e+06]	N
NC_010002	66.48	6767514	PRJNA58703	Multiple	NA	0.0122854999576765	-0.00993428439525115	-0.203342200466435	-0.210315637666847	-0.265526248797713	-0.0114785609496778	1.11275437152977	1.02246792146832	0.554405080991762	0.275772673448669	NA	Engineered	N	(60.2,74.9]	(4.58e+06,1.3e+07]	N
NC_007929	32.94	1827111	PRJNA58233	HostAssociated	NA	0.15206706604596	0.058544635611842	-0.321088641606978	-0.640578922801734	-0.275354854066393	-0.424991994768065	1.66619515891111	1.90165071466366	1.17973145535997	1.56421047638742	Host-associated	Host-associated	N	[16.6,37.5]	[1.39e+05,2.09e+06]	N
NC_004193	35.68	3630528	PRJNA57867	Multiple	NA	0.114582344190169	0.0373098859315589	0.0982847522877088	0.189418955608432	0.0189345701033231	0.225468845121678	1.01118007398407	1.23798190470146	0.728477655369741	0.65200715598281	Environmental	Environmental	N	[16.6,37.5]	(3.13e+06,4.58e+06]	N
NC_009883	31.63	1528980	PRJNA58681	NA	NA	0.0266757671415977	-0.000533985267153472	0.0503135991684341	-0.158282293962712	-0.308742273951304	-0.273933763846335	1.12902266030004	1.29580271638595	1.5478466241519	1.48853931699819	Host-associated	Host-associated	N	[16.6,37.5]	[1.39e+05,2.09e+06]	Y
NC_014920	38.22	1985832	PRJNA62123	NA	NA	0.015830309947957	-0.0139815483892651	0.0152516067413603	-0.0629438017875006	-0.270847336202695	-0.275947405698138	0.906655512074385	1.0152777203837	1.10549500688353	1.08042357544359	Host-associated	Host-associated	N	(37.5,47.3]	[1.39e+05,2.09e+06]	N
NC_008146	68.45	5705448	PRJNA58465	NA	None	0.0112726901202193	0.0071301892938579	-0.0959439589623855	-0.0657533053828481	-0.220563260565063	-0.0162250557123405	1.08554608561624	1.04736018819768	0.3466043405206	0.14565279573506	Environmental	Environmental	N	(60.2,74.9]	(4.58e+06,1.3e+07]	N
NC_015214	38.15	2078001	PRJNA63605	NA	NA	0.0646843595304713	0.00935025663470338	-0.644051401521737	-0.74013541593242	-0.571235025456952	-0.549894953018589	1.69324672150044	1.93344840903932	1.73660306447852	1.66856496391164	Host-associated	Host-associated	N	(37.5,47.3]	[1.39e+05,2.09e+06]	N
NC_016629	61.42	4200534	PRJNA66847	NA	NA	0.0192248084899116	-0.0066468674869184	-0.369522283738432	-0.343780348457099	-0.453461757737524	-0.275873467765287	1.49681580296207	1.42126808976073	0.767989635935617	0.527148800313417	Environmental	Environmental	N	(60.2,74.9]	(3.13e+06,4.58e+06]	N
NC_015460	39.88	2687323	PRJNA66567	NA	NA	0.0583753309985479	0.00134119879183068	0.0769134114217413	-0.0519961078944592	-0.266223276472325	-0.358208257740735	0.781074912323225	1.00060411860376	1.0747938263949	1.2134493961021	Environmental	Host-associated	N	(37.5,47.3]	(2.09e+06,3.13e+06]	N
NC_010531	45.56	1560469	PRJNA58967	HostAssociated	NA	0.0677405389510141	-0.0321665220206362	-0.577464034414161	-0.649450069322809	-0.428544443337022	-0.318772062299773	1.39820315374507	1.58183206156189	1.09136827100112	0.808253716652757	Host-associated	Host-associated	N	(37.5,47.3]	[1.39e+05,2.09e+06]	N
NC_009033	35.73	1570485	PRJNA58719	Specialized	NA	0.0209502340055377	0.0120035686285112	-0.266107099998891	-0.0944991290203247	0.0697187867021658	0.142529316059361	2.18551192847764	2.50359325340038	0.616136680728935	0.609337379178512	NA	NA	N	[16.6,37.5]	[1.39e+05,2.09e+06]	N
NC_008312	34.14	7750108	PRJNA57925	Aquatic	NA	-0.00388666233655029	0.00110891101919004	-0.206021212713352	-0.173817250969572	-0.27051124657882	-0.286254134403221	1.32497649802928	1.29068731868052	1.20306261508738	1.21262444439672	Host-associated	Environmental	N	[16.6,37.5]	(4.58e+06,1.3e+07]	N
NC_017025	31.38	2993089	PRJNA157999	NA	NA	0.0554593889800598	0.000864200012058605	0.170208495137306	-0.18310736230598	-0.13013264696847	-0.06651819933312	0.949213521079302	1.6054466736039	1.08514679301604	1.21844131332743	NA	NA	N	[16.6,37.5]	(2.09e+06,3.13e+06]	N
NC_010503	25.5	751679	PRJNA58887	HostAssociated	Urogenital or respiratory tracts infections	0.0256962609632251	0.0326254723508436	-0.0531299051485799	-0.0561168707728271	-0.248923483868955	-0.0383439812203499	0.871867448918144	1.10261838295065	1.80910918488027	1.86364460859484	Host-associated	Host-associated	N	[16.6,37.5]	[1.39e+05,2.09e+06]	N
NC_016613	45.03	3478307	PRJNA83161	NA	NA	0.0507987793932867	-0.0130252356339313	0.0984303512780265	0.05729138845515	-0.413285967606871	-0.330778911937695	0.891126027614711	0.980421487459123	1.09746975815152	0.974643238512956	Host-associated	Host-associated	N	(37.5,47.3]	(3.13e+06,4.58e+06]	N
NC_000908	31.69	580076	PRJNA57707	HostAssociated	Urogenital or respiratory tract infections	0.0257040091236073	0.0148953974895397	-0.512505901501143	-0.364057826638489	-0.571835828252789	-0.368839229510421	1.24466201552057	1.33198022949233	1.75563607918384	1.77320606203489	Host-associated	Host-associated	N	[16.6,37.5]	[1.39e+05,2.09e+06]	Y
